date,price
2018-08-22,5602.96
2018-08-23,5493.07
2018-08-24,5662.61
2018-08-25,5759.43
2018-08-26,5795.56
2018-08-27,5760.61
2018-08-28,5906.79
2018-08-29,6061.0
2018-08-30,6010.0
2018-08-31,5986.82
2018-09-01,6042.0
2018-09-02,6189.91
2018-09-03,6289.22
2018-09-04,6261.3
2018-09-05,6357.17
2018-09-06,5758.62
2018-09-07,5602.3
2018-09-08,5529.0
2018-09-09,5380.77
2018-09-10,5409.4
2018-09-11,5454.16
2018-09-12,5422.51
2018-09-13,5453.75
2018-09-14,5557.11
2018-09-15,5588.65
2018-09-16,5624.31
2018-09-17,5597.74
2018-09-18,5372.0
2018-09-19,5448.0
2018-09-20,5475.0
2018-09-21,5524.44
2018-09-22,5760.0
2018-09-23,5725.74
2018-09-24,5722.87
2018-09-25,5605.8
2018-09-26,5478.13
2018-09-27,5509.02
2018-09-28,5742.8
2018-09-29,5718.55
2018-09-30,5680.0
2018-10-01,5703.31
2018-10-02,5687.45
2018-10-03,5646.0
2018-10-04,5639.02
2018-10-05,5700.01
2018-10-06,5734.66
2018-10-07,5704.14
2018-10-08,5715.69
2018-10-09,5768.62
2018-10-10,5754.89
2018-10-11,5669.08
2018-10-12,5320.94
2018-10-13,5389.0
2018-10-14,5397.72
2018-10-15,5364.75
2018-10-16,5566.01
2018-10-17,5589.93
2018-10-18,5614.06
2018-10-19,5584.51
2018-10-20,5576.99
2018-10-21,5593.52
2018-10-22,5586.33
2018-10-23,5605.0
2018-10-24,5590.68
2018-10-25,5640.02
2018-10-26,5631.75
2018-10-27,5637.14
2018-10-28,5634.85
2018-10-29,5635.73
2018-10-30,5519.13
2018-10-31,5540.0
2018-11-01,5590.86
2018-11-02,5573.03
2018-11-03,5589.96
2018-11-04,5576.49
2018-11-05,5638.42
2018-11-06,5618.6
2018-11-07,5654.32
2018-11-08,5700.0
2018-11-09,5642.0
2018-11-10,5607.02
2018-11-11,5621.01
2018-11-12,5619.74
2018-11-13,5649.48
2018-11-14,5569.61
2018-11-15,4998.99
2018-11-16,4921.0
2018-11-17,4830.8
2018-11-18,4829.01
2018-11-19,4878.33
2018-11-20,4140.01
2018-11-21,3850.01
2018-11-22,4000.21
2018-11-23,3739.95
2018-11-24,3789.01
2018-11-25,3320.0
2018-11-26,3475.89
2018-11-27,3291.5
2018-11-28,3347.39
2018-11-29,3726.26
2018-11-30,3740.05
2018-12-01,3530.01
2018-12-02,3681.89
2018-12-03,3630.14
2018-12-04,3390.01
2018-12-05,3450.0
2018-12-06,3267.93
2018-12-07,3037.42
2018-12-08,2992.85
2018-12-09,3004.24
2018-12-10,3106.36
2018-12-11,3015.03
2018-12-12,2966.01
2018-12-13,3026.0
2018-12-14,2886.91
2018-12-15,2835.5
2018-12-16,2830.45
2018-12-17,2840.42
2018-12-18,3093.95
2018-12-19,3236.31
2018-12-20,3244.05
2018-12-21,3575.81
2018-12-22,3401.7
2018-12-23,3518.99
2018-12-24,3499.01
2018-12-25,3559.98
2018-12-26,3341.98
2018-12-27,3379.17
2018-12-28,3157.17
2018-12-29,3408.78
2018-12-30,3284.99
2018-12-31,3376.69
2019-01-01,3240.0
2019-01-02,3347.23
2019-01-03,3450.0
2019-01-04,3336.7
2019-01-05,3370.38
2019-01-06,3349.74
2019-01-07,3555.02
2019-01-08,3497.02
2019-01-09,3503.1
2019-01-10,3480.01
2019-01-11,3178.01
2019-01-12,3189.98
2019-01-13,3176.47
2019-01-14,3080.55
2019-01-15,3207.01
2019-01-16,3152.94
2019-01-17,3168.86
2019-01-18,3199.99
2019-01-19,3185.81
2019-01-20,3253.11
2019-01-21,3123.16
2019-01-22,3116.64
2019-01-23,3156.71
2019-01-24,3126.51
2019-01-25,3157.21
2019-01-26,3130.74
2019-01-27,3125.14
2019-01-28,3103.2
2019-01-29,3006.51
2019-01-30,2974.45
2019-01-31,2996.1
2019-02-01,2980.31
2019-02-02,3002.16
2019-02-03,3027.4
2019-02-04,2983.69
2019-02-05,2990.01
2019-02-06,3008.0
2019-02-07,2968.0
2019-02-08,2964.99
2019-02-09,3188.74
2019-02-10,3195.0
2019-02-11,3224.99
2019-02-12,3195.11
2019-02-13,3175.28
2019-02-14,3179.99
2019-02-15,3155.51
2019-02-16,3169.1
2019-02-17,3178.0
2019-02-18,3214.74
2019-02-19,3421.99
2019-02-20,3435.48
2019-02-21,3474.79
2019-02-22,3440.02
2019-02-23,3471.75
2019-02-24,3631.0
2019-02-25,3295.66
2019-02-26,3364.1
2019-02-27,3339.17
2019-02-28,3343.58
2019-03-01,3341.89
2019-03-02,3358.04
2019-03-03,3360.57
2019-03-04,3333.92
2019-03-05,3270.53
2019-03-06,3402.54
2019-03-07,3407.06
2019-03-08,3445.66
2019-03-09,3422.13
2019-03-10,3485.0
2019-03-11,3468.22
2019-03-12,3426.3
2019-03-13,3422.0
2019-03-14,3400.49
2019-03-15,3406.78
2019-03-16,3441.01
2019-03-17,3488.49
2019-03-18,3497.41
2019-03-19,3509.45
2019-03-20,3524.97
2019-03-21,3531.53
2019-03-22,3503.25
2019-03-23,3531.26
2019-03-24,3523.81
2019-03-25,3515.07
2019-03-26,3458.14
2019-03-27,3482.61
2019-03-28,3576.93
2019-03-29,3574.59
2019-03-30,3653.0
2019-03-31,3649.43
2019-04-01,3647.87
2019-04-02,3701.67
2019-04-03,4378.7
2019-04-04,4424.98
2019-04-05,4371.69
2019-04-06,4499.35
2019-04-07,4502.21
2019-04-08,4635.01
2019-04-09,4709.47
2019-04-10,4608.85
2019-04-11,4728.6
2019-04-12,4490.0
2019-04-13,4502.55
2019-04-14,4492.81
2019-04-15,4567.98
2019-04-16,4463.82
2019-04-17,4617.46
2019-04-18,4629.26
2019-04-19,4699.38
2019-04-20,4706.56
2019-04-21,4740.0
2019-04-22,4724.09
2019-04-23,4789.16
2019-04-24,4942.12
2019-04-25,4885.08
2019-04-26,4623.55
2019-04-27,4629.2
2019-04-28,4653.69
2019-04-29,4633.01
2019-04-30,4601.79
2019-05-01,4704.0
2019-05-02,4751.9
2019-05-03,4830.0
2019-05-04,5048.02
2019-05-05,5160.82
2019-05-06,5110.87
2019-05-07,5080.91
2019-05-08,5147.32
2019-05-09,5302.0
2019-05-10,5481.99
2019-05-11,5651.29
2019-05-12,6320.0
2019-05-13,6203.03
2019-05-14,6963.23
2019-05-15,7124.53
2019-05-16,7326.29
2019-05-17,7055.0
2019-05-18,6607.41
2019-05-19,6540.01
2019-05-20,7348.33
2019-05-21,7164.12
2019-05-22,7129.73
2019-05-23,6850.0
2019-05-24,7047.29
2019-05-25,7134.99
2019-05-26,7206.9
2019-05-27,7782.75
2019-05-28,7834.54
2019-05-29,7824.18
2019-05-30,7792.61
2019-05-31,7469.97
2019-06-01,7674.98
2019-06-02,7661.06
2019-06-03,7838.97
2019-06-04,7231.89
2019-06-05,6817.39
2019-06-06,6945.01
2019-06-07,6923.64
2019-06-08,7071.62
2019-06-09,7005.99
2019-06-10,6788.96
2019-06-11,7093.81
2019-06-12,6986.85
2019-06-13,7245.0
2019-06-14,7315.76
2019-06-15,7758.4
2019-06-16,7859.99
2019-06-17,7993.53
2019-06-18,8321.58
2019-06-19,8108.68
2019-06-20,8273.71
2019-06-21,8445.34
2019-06-22,8995.74
2019-06-23,9314.9
2019-06-24,9456.99
2019-06-25,9678.96
2019-06-26,10337.85
2019-06-27,11337.96
2019-06-28,9760.49
2019-06-29,10890.0
2019-06-30,10429.32
2019-07-01,9466.76
2019-07-02,9345.0
2019-07-03,9594.16
2019-07-04,10604.98
2019-07-05,9913.1
2019-07-06,9800.8
2019-07-07,10022.8
2019-07-08,10236.41
2019-07-09,10963.57
2019-07-10,11216.89
2019-07-11,10768.3
2019-07-12,10099.99
2019-07-13,10486.6
2019-07-14,10120.44
2019-07-15,9060.98
